제목(title),가격(price),link (from 인기 차트 - Google Play 영화)
테넷,"₩8,500",https://play.google.com/store/movies/details/%ED%85%8C%EB%84%B7?id=im5aWbjMKAQ.P
도굴,"₩11,000",https://play.google.com/store/movies/details/%EB%8F%84%EA%B5%B4?id=HQcgbruj254.P
해리포터와 마법사의 돌,"₩1,200",https://play.google.com/store/movies/details/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%EC%99%80_%EB%A7%88%EB%B2%95%EC%82%AC%EC%9D%98_%EB%8F%8C?id=Ipgr-Lsi_x8.P
날씨의 아이 (자막),"₩2,500",https://play.google.com/store/movies/details/%EB%82%A0%EC%94%A8%EC%9D%98_%EC%95%84%EC%9D%B4_%EC%9E%90%EB%A7%89?id=kv6eF7g-kRc.P
그린랜드,"₩5,500",https://play.google.com/store/movies/details/%EA%B7%B8%EB%A6%B0%EB%9E%9C%EB%93%9C?id=JVGvjSIKKbY.P
겨울왕국 2 (자막판),"₩2,800",https://play.google.com/store/movies/details/%EA%B2%A8%EC%9A%B8%EC%99%95%EA%B5%AD_2_%EC%9E%90%EB%A7%89%ED%8C%90?id=9kTBYkw3zH8
해리포터와 비밀의방,"₩1,200",https://play.google.com/store/movies/details/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%EC%99%80_%EB%B9%84%EB%B0%80%EC%9D%98%EB%B0%A9?id=A1mBZ7oCL0Y.P
겨울왕국 2 (더빙판),"₩2,800",https://play.google.com/store/movies/details/%EA%B2%A8%EC%9A%B8%EC%99%95%EA%B5%AD_2_%EB%8D%94%EB%B9%99%ED%8C%90?id=Bm0Lvhx7OUE
나 홀로 집에 (자막판),"₩1,400",https://play.google.com/store/movies/details/%EB%82%98_%ED%99%80%EB%A1%9C_%EC%A7%91%EC%97%90_%EC%9E%90%EB%A7%89%ED%8C%90?id=ujpfszWE4P0
해리포터와 아즈카반의 죄수,"₩1,200",https://play.google.com/store/movies/details/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%EC%99%80_%EC%95%84%EC%A6%88%EC%B9%B4%EB%B0%98%EC%9D%98_%EC%A3%84%EC%88%98?id=uXJU05WwSGA.P
